numero_noeud,type_attente,TIC,TIC_actuel
0,max,50259.000000,100000
0,moyenne,12455.585055,100000
1,max,50079.000000,100000
1,moyenne,12513.512845,100000
2,max,50270.000000,100000
2,moyenne,12581.871325,100000
3,max,75251.000000,100000
3,moyenne,9340.345910,100000
4,max,25764.000000,100000
4,moyenne,9598.285593,100000
5,max,25982.000000,100000
5,moyenne,9602.316030,100000
6,max,25900.000000,100000
6,moyenne,9586.398160,100000
7,max,26035.000000,100000
7,moyenne,9474.746245,100000
8,max,25600.000000,100000
8,moyenne,9523.363783,100000
9,max,25139.000000,100000
9,moyenne,9329.381471,100000
