intervalle,type_message,type_valeur,valeur,TIC,nb_slot,nb_noeud,politique_prioritaire
0:11807232,Best effort,Min,0.000000,1000000,25,5,0
0:11807232,Best effort,Moyenne,0.474541,1000000,25,5,0
0:11807232,Best effort,Max,1.000000,1000000,25,5,0
0:11807232,Prioritaire,Min,0.000000,1000000,25,5,0
0:11807232,Prioritaire,Moyenne,0.000000,1000000,25,5,0
0:11807232,Prioritaire,Max,0.000000,1000000,25,5,0
11807233:23614464,Best effort,Min,1.000000,1000000,25,5,0
11807233:23614464,Best effort,Moyenne,2.018673,1000000,25,5,0
11807233:23614464,Best effort,Max,3.000000,1000000,25,5,0
11807233:23614464,Prioritaire,Min,0.000000,1000000,25,5,0
11807233:23614464,Prioritaire,Moyenne,0.000000,1000000,25,5,0
11807233:23614464,Prioritaire,Max,0.000000,1000000,25,5,0
23614465:35421696,Best effort,Min,3.000000,1000000,25,5,0
23614465:35421696,Best effort,Moyenne,3.430779,1000000,25,5,0
23614465:35421696,Best effort,Max,4.000000,1000000,25,5,0
23614465:35421696,Prioritaire,Min,0.000000,1000000,25,5,0
23614465:35421696,Prioritaire,Moyenne,0.000000,1000000,25,5,0
23614465:35421696,Prioritaire,Max,0.000000,1000000,25,5,0
35421697:47228928,Best effort,Min,4.000000,1000000,25,5,0
35421697:47228928,Best effort,Moyenne,4.744457,1000000,25,5,0
35421697:47228928,Best effort,Max,6.000000,1000000,25,5,0
35421697:47228928,Prioritaire,Min,0.000000,1000000,25,5,0
35421697:47228928,Prioritaire,Moyenne,0.000000,1000000,25,5,0
35421697:47228928,Prioritaire,Max,0.000000,1000000,25,5,0
47228929:59036160,Best effort,Min,6.000000,1000000,25,5,0
47228929:59036160,Best effort,Moyenne,7.237104,1000000,25,5,0
47228929:59036160,Best effort,Max,19.000000,1000000,25,5,0
47228929:59036160,Prioritaire,Min,0.000000,1000000,25,5,0
47228929:59036160,Prioritaire,Moyenne,0.000000,1000000,25,5,0
47228929:59036160,Prioritaire,Max,0.000000,1000000,25,5,0
