numero_noeud,type_attente,TIC,TIC_actuel
0,max,75013.000000,100000
0,moyenne,9214.404940,100000
1,max,26724.000000,100000
1,moyenne,9922.036500,100000
2,max,25435.000000,100000
2,moyenne,9332.207976,100000
3,max,25749.000000,100000
3,moyenne,9503.850310,100000
4,max,50690.000000,100000
4,moyenne,12584.733334,100000
5,max,25454.000000,100000
5,moyenne,9628.813603,100000
6,max,25359.000000,100000
6,moyenne,9432.030168,100000
7,max,25792.000000,100000
7,moyenne,9535.354609,100000
8,max,50006.000000,100000
8,moyenne,12356.240256,100000
9,max,50869.000000,100000
9,moyenne,12616.385025,100000
