numero_noeud,type_attente,TIC,TIC_actuel
0,max,51476.000000,100000
0,moyenne,12795.398650,100000
1,max,50758.000000,100000
1,moyenne,12357.272660,100000
2,max,50372.000000,100000
2,moyenne,12527.855755,100000
3,max,49878.000000,100000
3,moyenne,12415.396796,100000
4,max,25091.000000,100000
4,moyenne,9467.469213,100000
5,max,24531.000000,100000
5,moyenne,9072.404384,100000
6,max,25423.000000,100000
6,moyenne,9509.915715,100000
7,max,24410.000000,100000
7,moyenne,9095.165584,100000
8,max,25103.000000,100000
8,moyenne,9373.543213,100000
9,max,50311.000000,100000
9,moyenne,12411.882920,100000
